source,unmatched_node
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Invention Patents (PAT) and Non-Invention Patents (NPAT)
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Invention Patents (PAT) and Non-Invention Patents (NPAT)
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Invention Patents (PAT) and Non-Invention Patents (NPAT)
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Invention Patents (PAT) and Non-Invention Patents (NPAT)
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Invention Patents (PAT), Non-Invention Patents (NPAT), and Sales from New Products (NEW)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), Environmental Efficiency (ENV), and Green Total Factor Productivity (GTFP)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Labor Productivity (LP) and Green Total Factor Productivity (GTFP)
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model","Labor Productivity (LP), Energy Efficiency (ENE), and Environmental Efficiency (ENV)"
"Environmental regulation, industrial innovation and green development of Chinese manufacturing: Based on an extended CDM model",Labor Productivity (LP) and Energy Efficiency (ENE)
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Technological Routes
Evolution of collaborative networks of solar energy applied technologies,Cooperation Network
Does technology conglomeration promote innovative outcomes of new energy vehicle enterprises? The moderating effect of divisive faultlines,Innovation Radicalness
Does technology conglomeration promote innovative outcomes of new energy vehicle enterprises? The moderating effect of divisive faultlines,Innovation Radicalness
Does technology conglomeration promote innovative outcomes of new energy vehicle enterprises? The moderating effect of divisive faultlines,Innovation Radicalness
Role of digitalization in energy storage technological innovation: Evidence from China,IoT Strategy
Role of digitalization in energy storage technological innovation: Evidence from China,SOE
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Future technological knowledge interaction areas
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Small-world characteristic
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Emerging technological knowledge interaction areas
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Emerging technological knowledge interaction areas
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Emerging technological knowledge interaction areas
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Emerging technological knowledge interaction areas
Tracking and predicting technological knowledge interactions between artificial intelligence and wind power: Multimethod patent analysis,Structural similarity between interacting areas
A New Look at National Diversity of Inventor Teams within Organizations,Quality of Inventions
A New Look at National Diversity of Inventor Teams within Organizations,Quality of Inventions
A New Look at National Diversity of Inventor Teams within Organizations,Quality of Inventions
A New Look at National Diversity of Inventor Teams within Organizations,Quality of Inventions
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,"Patent Applications, Residents (PA) and Patent Applications, Nonresidents (PAF)"
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
An Empirical Analysis about Technological Development and Innovation Indicators,Technological Development and Innovation
A Study on the Efficiency of Higher Education at Provincial Level—Take Universities of Hunan Province as an Example,Educational Output
A Study on the Efficiency of Higher Education at Provincial Level—Take Universities of Hunan Province as an Example,Educational Output
A Study on the Efficiency of Higher Education at Provincial Level—Take Universities of Hunan Province as an Example,Educational Output
A Study on the Efficiency of Higher Education at Provincial Level—Take Universities of Hunan Province as an Example,Educational Input
A Study on the Efficiency of Higher Education at Provincial Level—Take Universities of Hunan Province as an Example,Educational Output
"Passive Augmentations in Hearing Protection Technology Circa 2010 including Flat-Attenuation, Passive Level-Dependent, Passive Wave Resonance, Passive Adjustable Attenuation, and Adjustable-Fit Devices: Review of Design, Testing, and Research",Testing and Labeling of HPDs
"Powered Electronic Augmentations in Hearing Protection Technology Circa 2010 including Active Noise Reduction, Electronically-Modulated Sound Transmission, and Tactical Communications Devices: Review of Design, Testing, and Research",User's Needs
On the Correlation between Enterprises' Value and Their Technological Property Right -- Empirical evidences from China’s high-tech industries,Technical Intangible Assets (TIA) and Number of Patents (patent)
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Profit Increase
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Profit Decrease
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Profit Decrease
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Profit Decrease
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Profit Increase
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Patent Activity
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Intangible Asset Acquisition
The Economic Impact of Intellectual Property Management: Towards Model of Intellectual Property Management,Intangible Asset Acquisition
Analysis of the Correlation between Cross-Border E-Commerce and Economic Growth Based on Hierarchical Multilevel Gray Evaluation Model,Total Fixed Assets
Modeling Agricultural Innovation in a Rapidly Developing Country: The Case of Chinese Pesticide Industry,Foreign A01N Application
Modeling Agricultural Innovation in a Rapidly Developing Country: The Case of Chinese Pesticide Industry,Domestic Patent Applications
An Empirical Study on University R&D and Regional Economic Growth,University R&D Efficiency
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",Breaches of Research Standards
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",Internal Biobank Use
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",Data Quality and Reproducibility
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",Financial Sustainability
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",IP Policy Adoption
"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access",IP Policy Development
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Assets and Pipelined Projects
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Diversity of Intellectual Property
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Diversity of Intellectual Property
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Diversity of Intellectual Property
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Firm Management Capability
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Access to Resources
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Access to Resources
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Access to Resources
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Access to Resources
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Access to Resources
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Resource Sharing and Core Competencies
Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan,Innovation and Product Development
Detecting Technological Recombination for Potential R&D Exploration,Hot Technologies
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Gross Domestic Expenditure on R&D (GERD) / Expenditure on R&D in the Business Enterprise Sector (BERD)
"Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents",Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT)
An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation,Collaboration Intensity
An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation,Proximity and Collaboration Intensity
A Dynamic Network Measure of Technological Change,CD5 and mCD5 indexes
A Dynamic Network Measure of Technological Change,CDt and mCDt indexes
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Patentability
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Pharmaceutical Companies
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Pharmaceutical Companies
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Mother Group for Second Use Drugs
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Collaboration in Drug Development
How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries,Novelty and Inventive Step
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,External Knowledge Sourcing from Scientific Partners
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Open Technology Strategies
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,External Knowledge Sourcing from Indirect Partners
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Open Technology Strategies
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Open Technology Strategies
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Business Performance
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,External Knowledge Sourcing from Scientific Partners
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Business Performance
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,External Knowledge Sourcing from Indirect Partners
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Business Performance
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,External Knowledge Sourcing from Institutional Partners
How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies,Business Performance
How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?,IPC
How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?,IPC
How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?,UPC
How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?,UPC
Can Digital Financial Inclusion Promote Green Innovation in Heavily Polluting Companies?,Digital Financial Inclusion (Dindex) × Financing Constraints (Sa)
Can Digital Financial Inclusion Promote Green Innovation in Heavily Polluting Companies?,Digital Financial Inclusion (Dindex) × Financial Mismatch (Fm)
"Green Technology Transfer, Environmental Regulation, and Regional Green Development Chasm: Based on the Empirical Evidence from Yangtze River Delta",Green Technology Transfer (GTT) × Environmental Regulation (ER)
Induced innovation in energy technologies and systems: a review of evidence and potential implications for CO2 mitigation,Relationships Between Variables
Induced innovation in energy technologies and systems: a review of evidence and potential implications for CO2 mitigation,Innovation Processes
The discovery of 'the ubiquitin-mediated proteolytic system': An example of revolutionary science? (RIP),R&D Dynamics
The discovery of 'the ubiquitin-mediated proteolytic system': An example of revolutionary science? (RIP),R&D Dynamics
Environmental regulation effect on the different technology innovation-based the empirical analysis,ER1
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,ER2
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,ER3
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
Environmental regulation effect on the different technology innovation-based the empirical analysis,GTI
"Green R&D investment, ESG reporting, and corporate green innovation performance",Green R&D
"Green R&D investment, ESG reporting, and corporate green innovation performance",ESG
"Green R&D investment, ESG reporting, and corporate green innovation performance",ESG
"Green R&D investment, ESG reporting, and corporate green innovation performance",Green R&D
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Qualitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Qualitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Quantitative Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Design Performance
Linking Product Design and Technology: An Empirical Study on Performance and Experience in Novel Product Development Teams,Design Performance
Does working with industry come at a price? A study of doctoral candidates’ performance in collaborative vs. non-collaborative Ph.D. projects,Collaboration with Firms
Does working with industry come at a price? A study of doctoral candidates’ performance in collaborative vs. non-collaborative Ph.D. projects,Collaboration with Firms
Technovation 114 (2022) 102435,Experience of Abandoning Innovation Projects (ABANDON) * Number of Patent Applications (PATENT)
Technovation 114 (2022) 102435,Experience of Abandoning Innovation Projects (ABANDON) * Number of Patent Applications (PATENT)
Does working with industry come at a price? A study of doctoral candidates’ performance in collaborative vs. non-collaborative Ph.D. projects,Collaboration with Firms
Does working with industry come at a price? A study of doctoral candidates’ performance in collaborative vs. non-collaborative Ph.D. projects,Collaboration with Firms
Technovation 114 (2022) 102435,Experience of Abandoning Innovation Projects (ABANDON) * Number of Patent Applications (PATENT)
Technovation 114 (2022) 102435,Experience of Abandoning Innovation Projects (ABANDON) * Number of Patent Applications (PATENT)
"Twenty years of staffing, practice environment, and outcomes research in military nursing",Quality of Care
Tracing the technological development trajectory in post-lithium-ion battery technologies: A patent-based approach,Future Research Directions
Strategic intentions to the diffusion of electric mobility paradigm: The case of internal combustion engine vehicle,Strategic Reactions
Strategic intentions to the diffusion of electric mobility paradigm: The case of internal combustion engine vehicle,Remaining Growth Potential
Improve performance and robustness of knowledge-based FUZZY LOGIC habitat models,Expert Fatigue
Understanding Technological Input and Low-Carbon Innovation from Multiple Perspectives: Focusing on Sustainable Building Energy in China,BEE Innovation
Understanding Technological Input and Low-Carbon Innovation from Multiple Perspectives: Focusing on Sustainable Building Energy in China,Spatial Agglomeration of Innovation
Understanding Technological Input and Low-Carbon Innovation from Multiple Perspectives: Focusing on Sustainable Building Energy in China,Time Distribution Trend of BEE Innovation Efficiency
Understanding Technological Input and Low-Carbon Innovation from Multiple Perspectives: Focusing on Sustainable Building Energy in China,Spatial Distribution of Innovation Carriers
Research on urban economic centrality in the perspectives of knowledge stocks and flows,Knowledge Spatial Agglomeration
Research on urban economic centrality in the perspectives of knowledge stocks and flows,Power Centrality
New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru,Organizational Innovation
New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru,Innovation Types
New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru,Marketing Innovation
New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru,Innovation Types
New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru,Innovation Types
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
