node_1,node_2,edge,source
Enterprises,R&D Strategy,"The R&D Strategy of Enterprises influences the type of patents they pursue, either through Joint Patent Applications or Transferred Patents.",Efficiency of hidden knowledge spillovers between firms and universities in Japan: an empirical analysis based on patent data
Open Innovation,Transferred Patents,The study discusses how open innovation strategies of each company can be depicted by utilizing the shares of Transferred Patents.,Efficiency of hidden knowledge spillovers between firms and universities in Japan: an empirical analysis based on patent data
Patent Citations,Patent Allowance Rate,"While not directly stated, it can be inferred that patents with higher Patent Allowance Rates may also have higher Patent Citations, reflecting their influence and importance.",Efficiency of hidden knowledge spillovers between firms and universities in Japan: an empirical analysis based on patent data
Technological Distance,R&D Strategy,The Technological Distance between Transferred Patents and Joint Application Patents may reflect the differences in corporate R&D Strategies.,Efficiency of hidden knowledge spillovers between firms and universities in Japan: an empirical analysis based on patent data
S&T Spending,Invention Patent Applications,S&T Spending has a significant hysteresis effect on Invention Patent Applications with a peak grey correlation at a 3-year lag phase.,Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
S&T Staff Input,Invention Patent Applications,S&T Staff Input has a 1-year lag phase affecting Invention Patent Applications.,Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
Technology Trading and Introducing,Invention Patent Applications,"There is no lag phase between the total of nationwide technology development, transformation, and services contract and Invention Patent Applications, indicating immediate influence.",Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
Technology Import Contracts from Abroad,Invention Patent Applications,"Technology Import Contracts from Abroad have a 3-year lag phase and a moderate grey correlation value, suggesting a delayed influence on Invention Patent Applications.",Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
International Trade of High-Tech Products,Invention Patent Applications,"Both imports and output of high-tech products show a 2-year lag phase with high grey correlation values, indicating a strong influence on Invention Patent Applications.",Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
FDI,Invention Patent Applications,"FDI has a 1-year lag phase and a moderate grey correlation value, indicating a delayed influence on Invention Patent Applications.",Empirical Research about the Regional Innovation Capability Based on China’s Patent Application Activities
Spatial distance,Number of patent application,"Spatial distance has some impact on knowledge spillovers, but the degree of it is limited and not a significant constraint factor of knowledge spillovers.",Empirical Research on Spatial Diffusion Process of Knowledge Spillovers
Absorptive capacity,Number of patent application,Absorptive capacity has a significant effect on spatial knowledge spillovers. Enhancing the knowledge absorption capacity of surrounding cities can dampen the rate of spatial velocity attenuation of knowledge spillovers.,Empirical Research on Spatial Diffusion Process of Knowledge Spillovers
Knowledge gap,Number of patent application,"Economic gap has a negative impact on the diffusion of knowledge spillovers. The greater the gap, the more obvious the damping effect of spatial spillovers, indicating that economic development and knowledge flow are mutually restrictive.",Empirical Research on Spatial Diffusion Process of Knowledge Spillovers
Pollution control,Number of patent application,Environmental pollution control has the least influence on the spatial diffusion of knowledge spillovers. The impact of environmental pollution on the spatial diffusion of knowledge spillovers is very limited.,Empirical Research on Spatial Diffusion Process of Knowledge Spillovers
P,C,"The total number of publications/patents (P) is expected to have a direct link to the total number of citations (C), assuming that more publications/patents may attract more citations.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
C,CPP,"The total number of citations (C) influences the average number of citations per publication (CPP), as CPP is calculated as C divided by P.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
P,CPP,"The total number of publications/patents (P) is in the denominator when calculating the average number of citations per publication (CPP), indicating an inverse relationship where an increase in P could lead to a decrease in CPP if C remains constant.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
h index,P,"The h index is influenced by the total number of publications/patents (P), as it is based on the number of papers that received at least h citations.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
h index,C,"The h index is also influenced by the total number of citations (C), as it takes into account the number of citations each paper has received.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
Avgco-authors,P,"The average number of co-authors (Avgco-authors) may influence the total number of publications/patents (P), as more co-authors could potentially lead to more publications/patents.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
YMIN,YMAX,"The year of the oldest publication/patent (YMIN) and the year of the latest one (YMAX) provide a timeframe for the researcher's activity, which could be related to the evolution of P and C over time.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
Cmost-cited,h index,"The number of citations received by the most cited publication/patent (Cmost-cited) can influence the h index, as it contributes to the overall citation count for calculating the h index.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
hGROUP,h2,"The hGROUP value can influence the h2 value, as h2 is a measure of the core group of researchers with the highest h indices within a group, and hGROUP represents the overall impact of the group.",European research in the field of production technology and manufacturing systems: An exploratory analysis through publications and patents
Patent Expiration,Competitive Advantage,"Patent Expiration leads to the loss of market exclusivity, which can result in the loss of a company's competitive advantage.",Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Innovation Strategy,Core Competencies,A focused innovation strategy on core competencies can enhance a company's ability to maintain or develop new competitive advantages.,Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Resource-Based View,Competitive Advantage,The resource-based view posits that a company's unique resources and capabilities can lead to sustainable competitive advantages.,Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Mergers and Acquisitions (M&A),Resource-Based View,"M&A can be a means to acquire new resources that align with the resource-based view, potentially leading to competitive advantages.",Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Diversification,Core Competencies,"Excessive diversification may lead to a dilution of focus on core competencies, potentially negatively affecting innovation and competitive advantage.",Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
R&D Spending,Innovation Strategy,"Higher R&D spending can indicate a stronger commitment to an innovation strategy, potentially leading to new products and technologies.",Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Competitive Advantage,Market Share,A sustainable competitive advantage can help a company maintain or grow its market share.,Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Stock Market Performance,Competitive Advantage,A company's stock market performance can reflect its perceived competitive advantage in the market.,Exploratory Analysis of Innovation Strategies in the Pharmaceutical Industry
Basic research funding,Academic papers,Basic research funding has a positive effect on the output of academic papers in universities.,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Academic papers,Patent application,The output of academic papers in the knowledge innovation stage significantly contributes to the patent output in universities.,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Application research funding,Patent grant,The input of application research funding had a significant positive effect on the patent output in universities.,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Application research staff,Patent grant,"The input of staff had a negative effect on the patent output, indicating that quality of personnel is more valued than quantity in application research.",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent grant,Patent sales,"Patent output is positively related to patent commercialization in universities, as the former is the basis of the latter.",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Degree of competition,Patent sales,The degree of external competition plays a positive role in moderating the relationship between patent grants and future patent commercialization activities.,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Intensity of industry-academic collaboration,Patent sales,The intensity of the industry-academic collaboration plays a positive role in moderating the relationship between patent grants and future patent commercialization activities.,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
University prestige,Patent sales,"University prestige weakens the positive marginal effect of the patent grant on patent commercialization, possibly due to the path dependence within the university and the ability to form a virtuous cycle in research activities.",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent sales,Academic papers,"Patent commercialization can be fed back to the next knowledge innovation stage through the mediation effect, indicating a path-dependent effect in the knowledge innovation stage.",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Legal Reforms,University Patenting,The introduction of legal reforms in 2002 is associated with an increase in patent applications by universities and university-affiliated institutions.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
University Patenting,Patent Applications,"There has been a substantial increase in the number of patent applications submitted by German universities and university-affiliated institutions since the 1990s, particularly after the 2002 legislative reforms.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Non-University PRO Patenting,Patent Applications,"Non-university PROs have shown a stable number of patent applications over time, without a significant increase post-reform.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Patent Applications,Granted Patents,"A significant proportion of patent applications resulted in granted patents, indicating a relatively high success rate in obtaining patents for the applications made.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
WIPO Applications,PCT Applications,"WIPO applications, which are part of the PCT process, have seen an increase, suggesting a trend towards more international patent applications.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Time Period,Patent Applications,"The number of patent applications has shown a steady increase from the early 1990s to 2006, with a notable change after the legal reforms in 2002.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
German Patent and Trademark Office Applications,Foreign Patent Office Applications,"There has been a relative decrease in applications solely to the German Patent and Trademark Office and an increase in applications to foreign patent offices, indicating a shift towards more international patenting strategies.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Reference Count,Patent Collateral Likelihood,An increase in Reference Count positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Times Cited Count,Patent Collateral Likelihood,An increase in Times Cited Count positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Nonpatent Reference Count,Patent Collateral Likelihood,An increase in Nonpatent Reference Count negatively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Foreign Reference Count,Patent Collateral Likelihood,An increase in Foreign Reference Count negatively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Originality Index,Patent Collateral Likelihood,An increase in Originality Index positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Generality Index,Patent Collateral Likelihood,An increase in Generality Index positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Claim Count,Patent Collateral Likelihood,An increase in Claim Count positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Family Size,Patent Collateral Likelihood,An increase in Family Size positively affects the likelihood of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Reference Count,Patent Collateral Speed,An increase in Reference Count accelerates the speed of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Times Cited Count,Patent Collateral Speed,An increase in Times Cited Count reduces the speed of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Nonpatent Reference Count,Patent Collateral Speed,An increase in Nonpatent Reference Count contributes to the speed of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Foreign Reference Count,Patent Collateral Speed,An increase in Foreign Reference Count reduces the speed of a patent being used as collateral.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
SE Research,Practitioners,"SE Research has equipped Practitioners with various tools, processes, and methods, and improved many existing products.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
SE Research,SE Practice,SE Research impacts SE Practice by providing knowledge-seeking research and diverse cross-disciplinary SE areas.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Cross-disciplinary SE Areas,SE Practice,Cross-disciplinary SE Areas influence SE Practice by introducing new methods and solutions from intersecting disciplines.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Practitioner-Oriented Publication Venues,SE Practice,Practitioner-Oriented Publication Venues appear more impactful on SE Practice than Researcher-Oriented Publication Venues.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Funding Resources,SE Research,Limited funding resources may restrict the development and practical application of SE Research.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Cost-Benefit Trade-Off,SE Research,Unfavorable cost-benefit trade-off of the proposed solutions may阻碍the adoption of SE Research in practice.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Patent Citations,SE Research,Patent Citations serve as an indicator of the practical impact of SE Research on technology and industry.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Academic Citations,SE Research,"Academic Citations indicate the influence of one piece of SE Research on another, but may not directly correlate with practical impact.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Science & Technology (S&T) Outline,Patent Value,"The implementation of the S&T Outline in 2006 had a significant positive effect on promoting Patent Value, especially in industries with high Patent Intensity.",Innovation policy and firm patent value: evidence from China
Patent Intensity,Patent Value,Industries with higher Patent Intensity experienced a greater increase in Patent Value after the S&T Outline was implemented.,Innovation policy and firm patent value: evidence from China
Industrial R&D Expenditure,Patent Value,"Industries with higher Industrial R&D Expenditure tended to have higher Patent Value, indicating that R&D investment contributes to the value of patents.",Innovation policy and firm patent value: evidence from China
Regional GDP,Patent Value,"Regions with higher Regional GDP showed a higher Patent Value, suggesting that economic performance at the regional level supports patent value creation.",Innovation policy and firm patent value: evidence from China
Industry Structure,Patent Value,"The proportion of industrial added value in relation to regional GDP (Industry Structure) has a significant impact on Patent Value, indicating the importance of industry focus in regional economies for patent value.",Innovation policy and firm patent value: evidence from China
Quasi-Difference in Differences (DID) Model,Science & Technology (S&T) Outline,"The DID model was used to estimate the growth effect on Patent Value caused by the S&T Outline, accounting for potential confounding factors and providing evidence of the policy's impact.",Innovation policy and firm patent value: evidence from China
Innovation Correlation Networks,Patent Value,"Innovation Correlation Networks visualized the promotion effect of the S&T Outline on Patent Value, showing a gathering tendency in regional networks and a decentralizing tendency in industrial networks after the policy implementation.",Innovation policy and firm patent value: evidence from China
Function Coupling,Jointly Claimed Limitations,"Function coupling influences the joint claiming of limitations across patents, which can lead to the creation of interlocking patents.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Modular Boundaries,Jointly Claimed Limitations,"Modular boundaries can impose limits on the joint claiming of patent limitations, affecting the creation of interlocking patents.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Interlocking Patents,Value Appropriation,"Interlocking patents can mediate the relationship between function coupling and value appropriation, potentially helping firms to better capture the value of their innovations.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Competitive Performance,Value Appropriation,The ability to maintain a premium price and outperform competitors can be an indicator of successful value appropriation through patent strategy.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Self-Citations,Value Appropriation,A higher number of self-citations may indicate a firm's ability to strategically use its patent portfolio to appropriate value.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
External Citations,Value Appropriation,Fewer external citations compared to a firm with a different patent strategy may suggest that interlocking patents are effective in reducing knowledge spillovers and appropriating value.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Product Architecture,Interlocking Patents,"The product architecture, particularly the modularity, can influence the way patent claims are structured, potentially leading to interlocking patents.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Patent Thickets,Competitive Barriers,"The creation of patent thickets through interlocking patents can act as a barrier to competition, making it difficult for competitors to enter the market.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Preemptive Patenting,Interlocking Patents,"A firm may use preemptive patenting to create interlocking patents, making it harder for competitors to invent around the original patent.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Technical Value Evaluation Indicators,Patent Verification Samples (PVS),Technical Value Evaluation Indicators are used to evaluate the Patent Verification Samples (PVS).,Evaluation and cultivation method of high-tech value patents for mechanical products
Patent Verification Samples (PVS),Expert Scoring,Patent Verification Samples (PVS) are scored by experts based on the Technical Value Evaluation Indicators.,Evaluation and cultivation method of high-tech value patents for mechanical products
Expert Scoring,Evidence Theory,Expert Scoring is fused using the Evidence Theory to eliminate data dimension and enhance objectivity.,Evaluation and cultivation method of high-tech value patents for mechanical products
Technical Value Evaluation Indicators,Entropy Method,The Entropy Method is used to calculate the weight of each Technical Value Evaluation Indicator.,Evaluation and cultivation method of high-tech value patents for mechanical products
Entropy Method,Indicator Weights,The Entropy Method determines the Indicator Weights for each technical evaluation indicator.,Evaluation and cultivation method of high-tech value patents for mechanical products
Indicator Weights,Patent Value,The Patent Value is calculated by multiplying the Indicator Weights with the technical evaluation scores.,Evaluation and cultivation method of high-tech value patents for mechanical products
Principal Component Analysis (PCA),Factor Analysis,Principal Component Analysis (PCA) is followed by Factor Analysis to give physical meaning to the reduced indicators.,Evaluation and cultivation method of high-tech value patents for mechanical products
Factor Analysis,Patent Value,"Factor Analysis helps in determining the practical significance of the indicators, which influences the Patent Value calculation.",Evaluation and cultivation method of high-tech value patents for mechanical products
Information Science Evaluation Methods,Proposed Evaluation Method,The proposed Evaluation Method is compared with Information Science Evaluation Methods to demonstrate its effectiveness and rationality.,Evaluation and cultivation method of high-tech value patents for mechanical products
Inventor Distance,Forward Citation Count,"An increase in inventor distance is linked to a higher number of forward citations, indicating greater technological impact.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Distance,Reference Count,"Greater geographic distance between collaborating inventors is associated with a higher number of references to prior knowledge in patents, suggesting more diverse knowledge sources.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Distance,Family Size,"Inventor distance has a positive influence on the number of countries in which protection is sought, implying broader international patent protection.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Distance,Litigation Probability,"The study found a positive relationship between inventor distance and the likelihood of patent litigation, indicating potentially higher stakes in patents from distant collaborations.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Distance,Claim Count,"Patents from collaborations among inventors who are geographically distant tend to have a greater number of claims, reflecting a broader scope of patentable inventions.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Distance,Patent Value Indicators,"The study consistently found a positive influence of geographic distance on various patent value indicators, suggesting that distant collaborations can enhance patent value.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Originality Index,Patent Value Indicators,"A higher originality index, indicating greater technological diversity, is positively associated with patent value indicators.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
External Collaborator,Patent Value Indicators,"Interfirm collaborations may have a different impact on patent value compared to within-firm collaborations, though the specific relationship is not detailed in the summary.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Count,Patent Value Indicators,"A higher number of inventors involved in the development of a patented invention is positively associated with patent value indicators, suggesting collective outcomes are superior.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Country Count,Patent Value Indicators,"The number of countries involved in each collaborated patent can influence the indicators of patent value, with international collaboration playing a crucial role.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Patent Value,Strategic Exploitation of Patent Value,"The higher the perceived Patent Value, the more likely a firm is to engage in Strategic Exploitation of Patent Value.",Managing firm patents: A bibliometric investigation into the state of the art
Technological and Competitive Landscape,Patent Management Process,A dynamic Technological and Competitive Landscape necessitates a robust Patent Management Process to navigate and leverage patent information.,Managing firm patents: A bibliometric investigation into the state of the art
Firm Size,Patent Strategy,"Firm Size can influence the scope and complexity of a firm's Patent Strategy, with larger firms potentially having more resources to devote to patent activities.",Managing firm patents: A bibliometric investigation into the state of the art
Industry Sector,Patent Value,"The Industry Sector can affect the perceived Patent Value, as certain industries may place a higher premium on patent protection and innovation.",Managing firm patents: A bibliometric investigation into the state of the art
Market Location,Strategic Exploitation of Patent Value,"The Market Location can influence the strategies employed for the Strategic Exploitation of Patent Value, such as regional licensing or patent filing priorities.",Managing firm patents: A bibliometric investigation into the state of the art
Legislation,Patent Management Process,"Legislation shapes the Patent Management Process by dictating the rules and regulations that must be followed for patent application, maintenance, and enforcement.",Managing firm patents: A bibliometric investigation into the state of the art
Manager Commitment,Resource Allocation,"Higher Manager Commitment can lead to increased Resource Allocation towards patent management, reflecting the importance placed on intellectual property by the firm's leadership.",Managing firm patents: A bibliometric investigation into the state of the art
Output,Degree,A high number of patents (Output) has a significant positive impact on the size of an inventor's personal network (Degree).,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Output,Betweenness,A high number of patents (Output) is a strong positive indicator for an inventor's mediator potential (Betweenness).,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
IPCRange,Betweenness,"The IPC-range an inventor covers is negatively associated with their mediator potential (Betweenness), suggesting specialists rather than generalists are more likely to take mediator positions.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
IPCRange,Closeness,"Closeness centrality is negatively dependent on IPC-range, indicating that specialist inventors with a narrow IPC-range are closer to many others in the network.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
NetCit,Closeness,"Inventors with many citations received (NetCit) show higher closeness centrality, suggesting that a prominent scientific reputation predicts better the efficacy to reach others on short paths.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Entry,Degree,"Later entry into the network (Entry) is associated with a higher degree centrality, indicating that inventors who entered the network during the growth stage have larger personal networks.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Colocation,Closeness,"High closeness to others in the network is not associated with contacts to foreign inventors (Colocation), as the effect is negative and non-significant.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
International Patent Inflows,Innovation Capacity,"International patent inflows have a positive impact on the innovation capacity of both leading and lagging countries, with a stronger impact for leading countries due to their higher absorptive capacity and ability to work around patented innovations.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Import Value,Innovation Capacity,"Import value of solar PV products is expected to facilitate knowledge diffusion, but the study did not find robust results for its role in a country's innovation capacity in the solar PV industry.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Installed Capacity,Innovation Capacity,"The installed capacity of solar PV technologies, representing market demand, is positively related to a country's innovation capacity.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
R&D Investment,Innovation Capacity,"Both general and solar PV-specific R&D investments are positively related to a country's innovation capacity, supporting the technology-push hypothesis.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
GDP per Capita,Innovation Capacity,"GDP per capita is included as a control variable, but its direct relationship with innovation capacity is not explicitly discussed in the provided content.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Leaders,Innovation Capacity,"Leading countries, due to their greater experience and higher absorptive capacity, benefit more from international patent inflows, thus having a stronger positive impact on their innovation capacity.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Laggards,Innovation Capacity,"Laggard countries may benefit from international patent inflows, but the impact is weaker compared to leading countries, potentially due to limited absorptive capacity and challenges in adapting technologies to local conditions.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Patenting Activities,Technology Diffusion,"Patenting Activities drive Technology Diffusion by protecting intellectual property, enabling the spread of technology.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Collaborative Networks,New Entrants,"Collaborative Networks facilitate the integration of New Entrants into the innovation system, promoting diversity and innovation.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
International Collaboration,Technology Diffusion,International Collaboration accelerates Technology Diffusion by enabling global knowledge sharing and partnerships.,Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Public Research Organizations,Commercialization,Public Research Organizations contribute to Commercialization by translating publicly funded research into marketable inventions.,Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Academic Researchers,Patenting Activities,"Academic Researchers are key drivers of Patenting Activities, as their research outputs often lead to patentable inventions.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Large Organizations,Commercialization,Large Organizations play a significant role in Commercialization by providing resources and market access for new inventions.,Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Technology Pole,Collaborative Networks,"The Technology Pole is a core component of Collaborative Networks, as it includes the technological actors and innovations within the system.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Science Pole,Academic Researchers,"The Science Pole represents the environment and institutions where Academic Researchers operate, influencing their research and innovation activities.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Market Pole,Commercialization,"The Market Pole influences Commercialization by providing the market context, demand, and opportunities for new technologies.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Finance Pole,Patenting Activities,"The Finance Pole indirectly affects Patenting Activities by providing the necessary funding for research and development, which can lead to patents.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Software Patents,Utility Patents,"The number of Software Patents has been increasing as a proportion of Utility Patents, indicating a growing trend in software patenting.",Software Patents: A Replication Study
Copyright,Software Patents,"Copyright was historically the primary method for software protection, but the increase in Software Patents suggests a shift towards patent protection.",Software Patents: A Replication Study
Legal Changes,Software Patents,"Legal changes, such as court rulings, have made it easier to obtain Software Patents, contributing to the increase in their numbers.",Software Patents: A Replication Study
Quality of Patents,Patent Examination,"The perceived increase in low-quality Software Patents may be related to challenges in the Patent Examination process, particularly in finding relevant Prior-Art.",Software Patents: A Replication Study
Patent Classification,Prior-Art,"The lack of standardized Patent Classification can make it difficult to find Prior-Art, potentially leading to the granting of low-quality Software Patents.",Software Patents: A Replication Study
ln(GDP),ln(Patent),"The scale effect, measured by the logarithm of GDP, has a significant and negative effect on the number of patents granted, indicating that larger countries tend to decrease their innovation output.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
ln(GDPpc),ln(Patent),"The wealth effect, measured by the logarithm of GDP per capita, has a significant and positive effect on the number of patents granted, indicating that higher per capita income is associated with greater innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Education,ln(Patent),"Expenditure on education as a percentage of GDP has a significant and positive effect on the number of patents granted, showing that investment in education is positively related to innovation output.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Trade,ln(Patent),"International trade as a percentage of GDP has a significant and negative effect on the number of patents granted, suggesting that greater trade openness may reduce the need for domestic innovation development.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
OECD,ln(Patent),"Membership in the OECD group of countries has a positive and significant effect on the number of patents granted, indicating that the level of development of member countries positively influences innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
ln(Cite),ln(Patent),"The logarithm of the number of citable documents has a significant and positive effect on the number of patents granted, reflecting the impact of academic activity on innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
R&D,ln(Patent),"R&D expenditure as a percentage of GDP has a significant and positive effect on the number of patents granted, indicating that investment in research and development is crucial for innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
