name,define,source
Academic papers,Original scientific research results published in academic journals,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Published works,"Theoretical essays or monographs on scientific issues published by the official publishing department, as well as textbooks and science books",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Basic research staff,Annual number of staff engaged in fundamental research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Basic research funding,Annual funding spent in fundamental research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent application,Annual number of patent applications,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent grant,Annual number of patents granted,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Application research staff,Annual number of staff engaged in application research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Application research funding,Annual funding spent in application research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent sales,Annual number of patent sales contracts,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Experimental staff,Annual number of staff engaged in experimental development research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Experimental funding,Annual funding spent in experimental development research,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Degree of competition,Number of high-tech enterprises divided by the number of higher education institutions,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Intensity of industry-academic collaboration,Proportion of the funding allocated by enterprises and institutions on the total funding,The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
University prestige,"A proxy variable for university reputation, with 1 for universities belonging to the 985 project and 0 for those belonging to 211",The innovation value chain of patents: Breakthrough in the patent commercialization trap in Chinese universities
Patent Applications,The number of patents applied for by German public research organisations.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Granted Patents,The number of patents that have been granted within the patent families.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
University Patenting,The patenting activity of universities and university-affiliated institutions.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Non-University PRO Patenting,The patenting activity of non-university public research organisations.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Legal Reforms,Changes in the legal framework in Germany that may influence patenting behavior.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
PCT Applications,Patents applied for under the Patent Cooperation Treaty.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
WIPO Applications,Patents applied for through the World Intellectual Property Organization.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
EPO Applications,Patents applied for at the European Patent Office level.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
German Patent and Trademark Office Applications,Patents applied for at the German Patent and Trademark Office.,Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Foreign Patent Office Applications,"Patents applied for at foreign patent offices, such as the US Patent and Trademark Office.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Time Period,"The period from 1988 to 2006, which is the range of years for the patent applications considered in the study.",Patenting of University and Non-University Public Research Organisations in Germany: Evidence from Patent Applications for Medical Research Results
Reference Count,"The number of backward patent references, indicating the connection to prior technology.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Times Cited Count,"The number of forward citation patents, indicating the influence on subsequent technological knowledge.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Nonpatent Reference Count,The count of references to prior scientific knowledge.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Foreign Reference Count,The count of connections between patents and their prior foreign inventions.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Originality Index,"A measure of the novelty of the technology, representing how original a technology is.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Generality Index,"A measure of the diversified influence of the technology, representing how general a technology is.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Claim Count,"The number of claims in a patent, indicating the scope of legal protection.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Family Size,The number of countries in which patent protection is sought for the same invention.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Patent Filing Time,The period when the patent was filed.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Firm Size,"The size of the firm that filed the patent, categorized as SME or Large Firm.",How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Inventor Country,The country of the inventor associated with the patent.,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Patent Collateral Likelihood,Patent Collateral Likelihood,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
Patent Collateral Speed,Patent Collateral Speed,How Do Patent-Based Measures Inform Patent Collateral? A Holistic Analysis on All USPTO Patents Between 1986 and 2016
SE Research,"The body of work produced by software engineering researchers, including various tools, processes, and methods.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Practitioners,"Individuals who apply the knowledge, tools, and methods developed by SE researchers in their work.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
SE Practice,"The application of software engineering knowledge, tools, and methods in industry.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Cross-disciplinary SE Areas,"Areas of software engineering that intersect with other disciplines, such as programming languages, compilers, and management.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Practitioner-Oriented Publication Venues,Publication outlets that focus on the practical application of research and are more likely to be read by practitioners.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Researcher-Oriented Publication Venues,Publication outlets that focus on academic research and are more likely to be read by other researchers.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Funding Resources,Financial support for conducting and disseminating SE research.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Cost-Benefit Trade-Off,The balance between the costs of implementing research solutions and the benefits derived from them.,Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Patent Citations,"References made by patents to SE research papers, indicating the influence of academic research on practical applications.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Academic Citations,"References made by academic papers to other academic works, indicating the influence of one piece of research on another.",Impact of Software Engineering Research in Practice: A Patent and Author Survey Analysis
Patent Value,"The economic value of a firm's patent, measured by the comprehensive patent valuation model (CPVM).",Innovation policy and firm patent value: evidence from China
Science & Technology (S&T) Outline,"A Chinese innovation policy implemented in 2006, aimed at improving the country's innovation capacity.",Innovation policy and firm patent value: evidence from China
Patent Intensity,"The number of patent applications per industrial personnel, indicating the level of patent activity in an industry.",Innovation policy and firm patent value: evidence from China
Industrial Total Asset,"The total assets of an industry, reflecting its economic resources.",Innovation policy and firm patent value: evidence from China
Industrial R&D Expenditure,The expenditure on research and development within an industry.,Innovation policy and firm patent value: evidence from China
Regional GDP,"The gross domestic product of a region, indicating its economic performance.",Innovation policy and firm patent value: evidence from China
Regional R&D Expenditure,The research and development expenditure at the regional level.,Innovation policy and firm patent value: evidence from China
Industry Structure,The proportion of industrial value-added in relation to regional GDP.,Innovation policy and firm patent value: evidence from China
Quasi-Difference in Differences (DID) Model,A statistical method used to estimate the effect of a policy by comparing changes over time between treatment and control groups.,Innovation policy and firm patent value: evidence from China
Innovation Correlation Networks,Networks constructed to visualize and compare the promotion effect of the S&T Outline on patent value before and after its release.,Innovation policy and firm patent value: evidence from China
Interlocking Patents,"Patents containing some jointly claimed limitations, which are usually relatively small in number, and mainly comprised in dependent patent claims.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Function Coupling,The degree to which different components of a product are interconnected and their functions are interdependent.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Modular Boundaries,"The division of a product into modules, which can impose limits on the joint claiming of patent limitations.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Value Appropriation,The ability of a firm to capture and retain the economic value generated by its innovations.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Competitive Performance,The performance of a product in the market relative to competing products.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Self-Citations,"The number of times a firm cites its own patents, indicating the strategic use of patent portfolios.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
External Citations,"The number of citations received from other companies, reflecting the impact and relevance of the patented technology.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Product Architecture,The way functions are linked to physical components in a product.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Jointly Claimed Limitations,Jointly Claimed Limitations,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Patent Thickets,"A situation where multiple patents are filed that cover different aspects of a technology, potentially creating barriers to entry.",Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Preemptive Patenting,The strategy of filing additional patents to make it harder for competitors to invent around the original patent.,Interlocking Patent Rights and Value Appropriation: Insights From the Razor Industry
Technical Value Evaluation Indicators,"Indicators used to evaluate the technical value of patents, including aspects such as design function, mechanical properties, reliability, and human-machine relationship.",Evaluation and cultivation method of high-tech value patents for mechanical products
Patent Verification Samples (PVS),Invention patents selected as verification samples to score and evaluate the technical value using the proposed indicators.,Evaluation and cultivation method of high-tech value patents for mechanical products
Evidence Theory,A method used to fuse scores from multiple experts to eliminate data dimension and enhance the objectivity of the patent value evaluation.,Evaluation and cultivation method of high-tech value patents for mechanical products
Entropy Method,"A method used to calculate the weight of each technical evaluation indicator, reflecting the degree of system disorder and the importance of the indicator.",Evaluation and cultivation method of high-tech value patents for mechanical products
Principal Component Analysis (PCA),"A method used to recombine original indicators into a set of independent indicators, reducing the number of indicators while retaining as much information as possible.",Evaluation and cultivation method of high-tech value patents for mechanical products
Factor Analysis,"A method applied to give actual physical meaning to the reduced dimensional indicators from PCA, enhancing the operability of the evaluation indicators.",Evaluation and cultivation method of high-tech value patents for mechanical products
Expert Scoring,"Scores assigned by experts to patent verification samples based on the evaluation indicators, reflecting the perceived technical value.",Evaluation and cultivation method of high-tech value patents for mechanical products
Patent Value,"The calculated value of a patent based on the technical evaluation indicators, weights, and methods such as Evidence Theory and Entropy Method.",Evaluation and cultivation method of high-tech value patents for mechanical products
Indicator Weights,"The weights assigned to each technical evaluation indicator, determined by the Entropy Method, reflecting their importance in the overall patent value assessment.",Evaluation and cultivation method of high-tech value patents for mechanical products
Information Science Evaluation Methods,"Existing methods for evaluating patent values, used for comparison with the proposed method to demonstrate its effectiveness.",Evaluation and cultivation method of high-tech value patents for mechanical products
Inventor Distance,The average geographic distance between collaborating inventors.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Patent Value Indicators,"Include Forward Citation Count, Reference Count, Family Size, Litigation Probability, and Claim Count.",Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Forward Citation Count,The number of citations a patent receives from subsequent patents.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Reference Count,The number of backward patent references a patent has.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Family Size,The number of countries in which protection is sought for a given invention.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Litigation Probability,The likelihood of a patent to be litigated.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Claim Count,The number of claims a patent has.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Originality Index,Measures the diversity of cited previous patent knowledge.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
External Collaborator,Indicates whether the collaboration is between firms (interfirm) or within a firm.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Count,The number of inventors involved in the development of a patented invention.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Inventor Country Count,The number of countries involved in each collaborated patent.,Geographic distance and innovation: The impact of distant knowledge acquired on patent value
Patent Value,"Economic value derived from a patent, including factors such as market value, potential licensing revenue, and strategic importance.",Managing firm patents: A bibliometric investigation into the state of the art
Strategic Exploitation of Patent Value,"The various ways in which firms can extract value from their patents, including internal use, licensing, and cross-licensing.",Managing firm patents: A bibliometric investigation into the state of the art
Technological and Competitive Landscape,"The broader environment in which patents are situated, including technological trends and competitive dynamics.",Managing firm patents: A bibliometric investigation into the state of the art
Patent Management Process,"The systematic approach to handling patents within a firm, from application to maintenance and evaluation.",Managing firm patents: A bibliometric investigation into the state of the art
Firm Size,"The scale of the firm, which can influence its patent strategy and capabilities.",Managing firm patents: A bibliometric investigation into the state of the art
Industry Sector,"The specific industry in which a firm operates, which can affect the value and exploitation of patents.",Managing firm patents: A bibliometric investigation into the state of the art
Market Location,"The geographical market in which a firm operates, influencing the relevance of patents.",Managing firm patents: A bibliometric investigation into the state of the art
Legislation,"The legal framework governing patents, which can vary by country and affect patent strategy.",Managing firm patents: A bibliometric investigation into the state of the art
Manager Commitment,The level of engagement and attention from management towards patent issues.,Managing firm patents: A bibliometric investigation into the state of the art
Resource Allocation,The distribution of resources within a firm towards patent management activities.,Managing firm patents: A bibliometric investigation into the state of the art
Degree,A centrality measure representing the size of an inventor's personal network.,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Betweenness,A centrality measure indicating the potential of an inventor to mediate between other inventors.,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Closeness,A centrality measure reflecting the efficiency with which an inventor can reach other participants in the network.,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Entry,"The year in which the first patent of an inventor was filed, representing their seniority in the network.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Output,The total number of patents an inventor has generated.,An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
NetCit,"The cumulative number of citations an inventor has received from other inventors' patents, minus self-citations.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
IPCRange,"The number of IPC-subclasses in which an inventor's patents were filed, indicating technical diversity.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Colocation,"The share of foreign inventors among an inventor's collaborators, measured by dissimilar country codes in the inventor addresses.",An empirical enquiry into co-patent networks and their stars: The case of cardiac pacemaker technology
Innovation Capacity,"Measured by the count of domestic patents filed in at least one foreign country, indicating the country's ability to innovate and meet global patent standards.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
International Patent Inflows,"The number of international patents that flow into each recipient country each year, used to measure the impact on a recipient country's innovation capacity.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Import Value,"The international trade value for solar PV products, considered as a source of technology diffusion.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Installed Capacity,"The market size of solar PV technology, measured by the installed capacity of solar PV technologies.",International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
R&D Investment,Both general R&D as a percent of GDP and specific R&D investments in the solar PV industry are used to measure their impact on innovation capacity.,International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
GDP per Capita,A control variable representing the economic status of a country.,International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Leaders,Countries with a higher level of technology development in the solar PV industry.,International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Laggards,Countries with a lower level of technology development in the solar PV industry.,International patent inﬂows and innovative capacity in recipient countries: Evidence from the solar photovoltaics (PV) industry
Patenting Activities,"Activities related to the acquisition of patents, indicating the level of innovation and protection of intellectual property.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Technology Diffusion,"The spread of technology from its point of origin to other areas, indicating the adoption and integration of new technologies in various sectors.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Collaborative Networks,"Networks formed by actors for collaboration, indicating the level of partnership and interaction between different entities.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
International Collaboration,"Collaborations across different countries, indicating the global nature of partnerships and knowledge sharing.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
New Entrants,"Newcomers in the field, such as spinoffs and SMEs, indicating the influx of novel ideas and potential innovation drivers.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Public Research Organizations,"Institutions funded by the public sector, indicating the role of government and public funding in innovation and technology development.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Commercialization,"The process of turning inventions and ideas into products or services, indicating the transition from research to market application.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Academic Researchers,"Individuals involved in academic research, indicating the role of academia in driving innovation and technology development.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Large Organizations,"Established corporations, indicating their role in the adoption and diffusion of new technologies.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Technology Pole,"A concept within the Techno-Economic Network (TEN) framework, representing the technological aspects and actors within an innovation system.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Science Pole,"A concept within the TEN framework, representing the scientific aspects and actors within an innovation system.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Market Pole,"A concept within the TEN framework, representing the market aspects and actors within an innovation system.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Finance Pole,"A concept within the TEN framework, representing the financial aspects and actors within an innovation system, with indirect links to innovation.",Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks
Software Patents,Patents that involve a logic algorithm for processing data implemented via stored instructions.,Software Patents: A Replication Study
Utility Patents,"Patents granted that may include a variety of technologies, not limited to software.",Software Patents: A Replication Study
Copyright,"A form of intellectual property protection for original works of authorship, including software source code.",Software Patents: A Replication Study
Trade Secrets,A form of intellectual property protection where information is kept secret to gain an advantage over competitors.,Software Patents: A Replication Study
Trademarks,"Signs, including names and logos, used by companies to identify and protect their products or services.",Software Patents: A Replication Study
Algorithms,"A set of rules or processes used in software to perform specific tasks, which can be protected by patents.",Software Patents: A Replication Study
Legal Changes,Changes in laws and court rulings that affect the patentability of software and related technologies.,Software Patents: A Replication Study
Quality of Patents,"The degree to which patents meet the criteria of being novel, non-obvious, and utilitarian.",Software Patents: A Replication Study
Prior-Art,Existing knowledge or products that may affect the patentability of an invention by showing it is not novel.,Software Patents: A Replication Study
Patent Classification,The categorization of patents into specific classes or groups based on their technological content.,Software Patents: A Replication Study
Patent Examination,"The process by which patent examiners evaluate the patentability of an invention, including the search for prior-art.",Software Patents: A Replication Study
ln(GDP),"The logarithm of a country's Gross Domestic Product, indicating the country's economic scale.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
ln(GDPpc),"The logarithm of GDP per capita, representing the income level of a country.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Credit,"The level of credit as a percentage of GDP, showing the capacity of each country to leverage resources.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Education,"Expenditure on education as a percentage of GDP, indicating the country's policy on educational issues.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Trade,"International trade as a percentage of GDP, representing the level of interaction with other countries.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
OECD,"A binary variable indicating membership in the OECD group of countries, reflecting the level of development.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
ln(Cite),"The natural logarithm of the number of citable documents, an approximation of academic activity's effect on innovation.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
R&D,"R&D expenditure as a percentage of GDP, indicating the intensity of research and development activities.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Geographical Region,"The geographical area to which a country belongs, which may influence innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
ln(Patent),The natural logarithm of the patent number,Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Private Inventors,"Individuals applying for a patent in their own name, instead of naming a company as an applicant.",Patent litigation by private inventors - case Finland
Patent Applications,The process of filing a patent with the intention to obtain a patent grant.,Patent litigation by private inventors - case Finland
Patent Grants,The successful outcome of a patent application process resulting in a granted patent.,Patent litigation by private inventors - case Finland
Administrative Hearings,Legal proceedings where patent applicants seek to overturn an adverse decision made by the administration.,Patent litigation by private inventors - case Finland
Opposition Actions,"Legal actions brought against a patent within a specific time frame, aiming to dispute the patent's validity.",Patent litigation by private inventors - case Finland
Invalidity Actions,Civil litigations filed to seek invalidation of a patent that was not revoked in an opposition hearing.,Patent litigation by private inventors - case Finland
Infringement Actions,Legal actions taken to enforce patent rights or defend against accusations of patent infringement.,Patent litigation by private inventors - case Finland
Ownership Actions,Legal disputes related to the ownership of a patent and the right to financial rewards from the patent right.,Patent litigation by private inventors - case Finland
Employee Invention Actions,Legal actions involving disputes over the rights to an invention made by an employee.,Patent litigation by private inventors - case Finland
Contract Actions,Legal disputes dealing with issues of contract validity and transfer of patent rights.,Patent litigation by private inventors - case Finland
Patent Subsidy Policy,A government policy tool designed to encourage and guide innovation subjects to apply for patents.,The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Patent Application,"The act of applying for a patent, which can be influenced by various factors including subsidy policies.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Invention Patent,A type of patent application that may be affected by the patent subsidy policy.,The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Utility Model Patent,A type of patent application that may be influenced by the patent subsidy policy.,The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Design Patent,A type of patent application that may be influenced by the patent subsidy policy.,The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Total Patent,"The overall number of patent applications, which can be impacted by the patent subsidy policy.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Economic Burden,"The financial cost associated with applying or maintaining patents, which can be alleviated by subsidy policies.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Patent Quality,"The standard or level of innovation represented by a patent, which may be influenced by the patent subsidy policy.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Patent System Reform,Changes to the patent system that can affect patent application behavior.,The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
R&D Investment,"Investment in research and development, which can be influenced by patent subsidy policies.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Policy Revision,"The act of updating or modifying existing policies, which can have different effects on patent applications.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
Stock of Conventional Patents,"The total number of non-SEP patents held by a country, used as a measure of innovative capacity.",Standard essential patents and global ICT value chains with a focus on the catching-up of China
Stock of SEPs,"The total number of Standard Essential Patents held by a country, which are patents declared essential to a technical standard.",Standard essential patents and global ICT value chains with a focus on the catching-up of China
Exports in the ICT sector,"The output in the Information and Communication Technology sector of a country, used as a control for the size of the economy.",Standard essential patents and global ICT value chains with a focus on the catching-up of China
Imports in the ICT sector,"Imports in the ICT sector",Standard essential patents and global ICT value chains with a focus on the catching-up of China
Value of SEPs,"The value attributed to SEPs based on the number of citations they have received, indicating their importance and quality.",Standard essential patents and global ICT value chains with a focus on the catching-up of China
InnValue,"The value of university-industry joint innovations, measured by the total number of citations a joint patent received within five years of the issue date.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
TechRel,The degree of overlapping between the technology profile of the university and the firm jointly developing a patent.,"The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
PriorTies,A binary variable indicating whether the university and the firm have previously registered joint patents in the five years prior to the joint patent under analysis.,"The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
GeoDist,"The geographical distance between the university and the firm, measured as the spatial distance in kilometers between their location sites.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
FirmSize,"The size of the firm, measured by the number of full-time employers.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
FirmPatents,"The technological capital of the firm, measured by the number of patents registered by the firm in the five years prior to the collaboration.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
UnivSize,"The size of the university, measured by the number of full-time researchers.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
UnivPatents,"The patenting propensity of the university, measured by the number of patents registered by the university in the five years prior to the collaboration.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
SpinOff,A binary variable indicating whether the university has at least one spin-off.,"The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
TTO,A binary variable indicating whether the university has a technology transfer office.,"The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
UnivReputation,"The reputation of the university, measured by its ranking in the Academic Ranking of World Universities.","The impact of technological relatedness, prior ties, and geographical distance on university–industry collaborations: A joint-patent analysis"
Intellectual Property Rights (IPRs),"Rights used to create revenue, defend a firm’s competitive position, and signal competitiveness.",Intellectual property rights in innovation management research: A review
Innovation Management,The process of managing and profiting from knowledge and innovation within a firm.,Intellectual property rights in innovation management research: A review
Patents,A type of IPR that is emphasized in most studies and is used as an indicator of firm or country innovativeness.,Intellectual property rights in innovation management research: A review
Secondary Data,"Data that is often relied upon in studies, mostly consisting of patent data.",Intellectual property rights in innovation management research: A review
North American and European Contexts,Geographical regions that are heavily emphasized in the content of the articles.,Intellectual property rights in innovation management research: A review
Research Articles,The articles published in leading innovation management journals that were analyzed in the study.,Intellectual property rights in innovation management research: A review
Theoretical Basis,The need for development of coherent constructs and conceptual frameworks in IPR research.,Intellectual property rights in innovation management research: A review
Coherent Constructs,The constructs that need to be developed to strengthen the theoretical basis of IPR research.,Intellectual property rights in innovation management research: A review
Conceptual Frameworks,The frameworks that need to be developed to strengthen the theoretical basis of IPR research.,Intellectual property rights in innovation management research: A review
Firm-Level Perspective,"A perspective that focuses on organizational decision-making within a firm, which is often the focus in innovation management literature.",Intellectual property rights in innovation management research: A review
Macro-Level Perspective,"A perspective that focuses on broader aspects such as industry or country level, which is common in legal matters and IPR issues.",Intellectual property rights in innovation management research: A review
Innovation Partnerships,A dummy variable representing whether firms cooperated with other organizations on innovation.,"Exploring the use of patents in a weak institutional environment: The effects of innovation partnerships, firm ownership, and new management practices"
Firm Ownership,"A categorical variable with three categories: domestic, foreign, and domestic and foreign ownership.","Exploring the use of patents in a weak institutional environment: The effects of innovation partnerships, firm ownership, and new management practices"
New Management Practices,A binary variable indicating whether a firm had implemented new or significant changes in management methods.,"Exploring the use of patents in a weak institutional environment: The effects of innovation partnerships, firm ownership, and new management practices"
